Thu Feb  4 00:20:53 2016 Program started.
Thu Feb  4 00:37:32 2016 Found coin @ x: 301  y: 225
Thu Feb  4 00:37:41 2016 Found coin @ x: 613  y: 225
Thu Feb  4 00:38:16 2016 Found hammer @ x: 718  y: 277
Thu Feb  4 00:38:25 2016 Found coin @ x: 613  y: 69
Thu Feb  4 00:38:31 2016 Found moon @ x: 729  y: 268
Thu Feb  4 00:38:35 2016 make horn @ x: 512  y: 310
Thu Feb  4 00:38:40 2016 Found coin @ x: 197  y: 277
Thu Feb  4 00:38:58 2016 Found hammer @ x: 956  y: 383
Thu Feb  4 00:39:03 2016 Found coin @ x: 509  y: 121
Thu Feb  4 00:39:05 2016 Found coin @ x: 509  y: 121
Thu Feb  4 00:39:11 2016 Found moon @ x: 967  y: 374
Thu Feb  4 00:39:19 2016 make pot @ x: 509  y: 309
Thu Feb  4 00:39:25 2016 Found coin @ x: 509  y: 277
Thu Feb  4 00:39:28 2016 Found hammer @ x: 1008  y: 565
Thu Feb  4 00:39:34 2016 Found coin @ x: 396  y: 319
Thu Feb  4 00:39:44 2016 Found moon @ x: 1019  y: 556
Thu Feb  4 00:39:52 2016 make pot @ x: 509  y: 309
Thu Feb  4 00:39:58 2016 Found coin @ x: 93  y: 329
Thu Feb  4 00:40:08 2016 Found coin @ x: 292  y: 371
Thu Feb  4 00:40:11 2016 Found coin @ x: 197  y: 433
Thu Feb  4 00:40:21 2016 Found coin @ x: 717  y: 485
Thu Feb  4 00:40:24 2016 Found coin @ x: 717  y: 485
Thu Feb  4 00:40:26 2016 Found hammer @ x: 1184  y: 433
Thu Feb  4 00:40:33 2016 Found coin @ x: 821  y: 537
Thu Feb  4 00:40:36 2016 Found coin @ x: 665  y: 615
Thu Feb  4 00:40:57 2016 Found moon @ x: 1195  y: 424
Thu Feb  4 00:41:08 2016 make kohl @ x: 512  y: 306
Thu Feb  4 00:41:54 2016 Found coin @ x: 405  y: 173
Thu Feb  4 00:41:56 2016 Found coin @ x: 405  y: 173
Thu Feb  4 00:42:06 2016 Found coin @ x: 717  y: 173
Thu Feb  4 00:42:08 2016 Found coin @ x: 717  y: 173
Thu Feb  4 00:42:31 2016 Found coin @ x: 873  y: 95
Thu Feb  4 00:42:59 2016 Found coin @ x: 301  y: 225
Thu Feb  4 00:43:01 2016 Found coin @ x: 613  y: 225
Thu Feb  4 00:43:39 2016 Found coin @ x: 613  y: 69
Thu Feb  4 00:43:41 2016 Found coin @ x: 613  y: 69
Thu Feb  4 00:43:50 2016 Found coin @ x: 197  y: 277
Thu Feb  4 00:44:11 2016 Found hammer @ x: 718  y: 277
Thu Feb  4 00:44:16 2016 Found coin @ x: 509  y: 121
Thu Feb  4 00:44:18 2016 Found coin @ x: 509  y: 121
Thu Feb  4 00:44:31 2016 Found coin @ x: 509  y: 277
Thu Feb  4 00:44:34 2016 Found hammer @ x: 956  y: 383
Thu Feb  4 00:44:51 2016 Found moon @ x: 729  y: 268
Thu Feb  4 00:44:55 2016 make horn @ x: 512  y: 310
Thu Feb  4 00:45:08 2016 Found moon @ x: 967  y: 374
Thu Feb  4 00:45:16 2016 make pot @ x: 509  y: 309
Thu Feb  4 00:45:22 2016 Found coin @ x: 93  y: 329
Thu Feb  4 00:45:25 2016 Found hammer @ x: 1008  y: 565
Thu Feb  4 00:45:31 2016 Found coin @ x: 197  y: 433
Thu Feb  4 00:45:34 2016 Found coin @ x: 717  y: 485
Thu Feb  4 00:45:41 2016 Found moon @ x: 1019  y: 556
Thu Feb  4 00:45:49 2016 make pot @ x: 509  y: 309
Thu Feb  4 00:45:56 2016 Found coin @ x: 665  y: 615
Thu Feb  4 00:46:06 2016 Found coin @ x: 821  y: 537
Thu Feb  4 00:46:09 2016 Found coin @ x: 821  y: 537
Thu Feb  4 00:46:26 2016 Found hammer @ x: 1184  y: 433
Thu Feb  4 00:46:44 2016 Found moon @ x: 1195  y: 424
Thu Feb  4 00:46:55 2016 make kohl @ x: 512  y: 306
Thu Feb  4 00:47:00 2016 Found coin @ x: 405  y: 173
Thu Feb  4 00:47:24 2016 Found coin @ x: 717  y: 173
Thu Feb  4 00:47:40 2016 Found coin @ x: 873  y: 95
Thu Feb  4 00:48:08 2016 Found coin @ x: 301  y: 225
Thu Feb  4 00:48:21 2016 Found coin @ x: 613  y: 225
Thu Feb  4 00:48:48 2016 Found coin @ x: 613  y: 69
Thu Feb  4 00:48:58 2016 Found coin @ x: 197  y: 277
Thu Feb  4 00:49:00 2016 Found coin @ x: 197  y: 277
Thu Feb  4 00:49:39 2016 Found coin @ x: 509  y: 121
Thu Feb  4 00:49:41 2016 Found coin @ x: 509  y: 277
Thu Feb  4 00:49:58 2016 Found hammer @ x: 718  y: 277
Thu Feb  4 00:50:26 2016 Found hammer @ x: 956  y: 383
Thu Feb  4 00:50:28 2016 Found moon @ x: 729  y: 268
Thu Feb  4 00:50:32 2016 make horn @ x: 512  y: 310
Thu Feb  4 00:50:38 2016 Found coin @ x: 93  y: 329
Thu Feb  4 00:50:45 2016 Found moon @ x: 967  y: 374
Thu Feb  4 00:50:52 2016 make pot @ x: 509  y: 309
Thu Feb  4 00:50:59 2016 Found coin @ x: 717  y: 485
Thu Feb  4 00:51:02 2016 Found hammer @ x: 1008  y: 565
Thu Feb  4 00:51:08 2016 Found coin @ x: 197  y: 433
Thu Feb  4 00:51:19 2016 Found moon @ x: 1019  y: 556
Thu Feb  4 00:51:26 2016 make pot @ x: 509  y: 309
Thu Feb  4 00:51:33 2016 Found coin @ x: 821  y: 537
Thu Feb  4 00:51:43 2016 Found coin @ x: 665  y: 615
Thu Feb  4 00:51:47 2016 Found coin @ x: 665  y: 615
